שם,חומרים,סטאטוס,קורס,תאריך הגשה,📚 חומרים
ממן 11,,נגמר,אוטומטים ושפות פורמליות (%D7%AA%D7%95%D7%90%D7%A8%20%D7%91%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%202023/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A7%D7%95%D7%A8%D7%A1%D7%99%D7%9D/%D7%90%D7%95%D7%98%D7%95%D7%9E%D7%98%D7%99%D7%9D%20%D7%95%D7%A9%D7%A4%D7%95%D7%AA%20%D7%A4%D7%95%D7%A8%D7%9E%D7%9C%D7%99%D7%95%D7%AA%203a9795e27ff94c5492d9bda507aa18ed.md),"July 6, 2023",
ממן 12,,נגמר,מתמטיקה בדידה (%D7%AA%D7%95%D7%90%D7%A8%20%D7%91%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%202023/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A7%D7%95%D7%A8%D7%A1%D7%99%D7%9D/%D7%9E%D7%AA%D7%9E%D7%98%D7%99%D7%A7%D7%94%20%D7%91%D7%93%D7%99%D7%93%D7%94%20310f89dbcca74a78b528c34991532b08.md),"July 6, 2023",
ממן 11,,נגמר,מתמטיקה בדידה (%D7%AA%D7%95%D7%90%D7%A8%20%D7%91%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%202023/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A7%D7%95%D7%A8%D7%A1%D7%99%D7%9D/%D7%9E%D7%AA%D7%9E%D7%98%D7%99%D7%A7%D7%94%20%D7%91%D7%93%D7%99%D7%93%D7%94%20310f89dbcca74a78b528c34991532b08.md),"July 6, 2023",
ממח 23,,לעשות,לוגיקה למדעי המחשב (%D7%AA%D7%95%D7%90%D7%A8%20%D7%91%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%202023/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A7%D7%95%D7%A8%D7%A1%D7%99%D7%9D/%D7%9C%D7%95%D7%92%D7%99%D7%A7%D7%94%20%D7%9C%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%20cc6a35404fae40a3b15735c40b05d768.md),"July 21, 2023",
ממח 22,,לעשות,לוגיקה למדעי המחשב (%D7%AA%D7%95%D7%90%D7%A8%20%D7%91%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%202023/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A7%D7%95%D7%A8%D7%A1%D7%99%D7%9D/%D7%9C%D7%95%D7%92%D7%99%D7%A7%D7%94%20%D7%9C%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%20cc6a35404fae40a3b15735c40b05d768.md),"July 28, 2023",
ממח 21,,לעשות,לוגיקה למדעי המחשב (%D7%AA%D7%95%D7%90%D7%A8%20%D7%91%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%202023/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A7%D7%95%D7%A8%D7%A1%D7%99%D7%9D/%D7%9C%D7%95%D7%92%D7%99%D7%A7%D7%94%20%D7%9C%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%20cc6a35404fae40a3b15735c40b05d768.md),"July 7, 2023",
ממן 13,,לעשות,לוגיקה למדעי המחשב (%D7%AA%D7%95%D7%90%D7%A8%20%D7%91%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%202023/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A7%D7%95%D7%A8%D7%A1%D7%99%D7%9D/%D7%9C%D7%95%D7%92%D7%99%D7%A7%D7%94%20%D7%9C%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%20cc6a35404fae40a3b15735c40b05d768.md),"July 12, 2023",
ממן 12,מאמר מעניין (%D7%AA%D7%95%D7%90%D7%A8%20%D7%91%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%202023/%D7%97%D7%95%D7%9E%D7%A8%D7%99%D7%9D/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%97%D7%95%D7%9E%D7%A8%D7%99%D7%9D/%D7%9E%D7%90%D7%9E%D7%A8%20%D7%9E%D7%A2%D7%A0%D7%99%D7%99%D7%9F%208d80420c7fc54710b6cffed9c3f0d95a.md),בתהליך,לוגיקה למדעי המחשב (%D7%AA%D7%95%D7%90%D7%A8%20%D7%91%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%202023/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A7%D7%95%D7%A8%D7%A1%D7%99%D7%9D/%D7%9C%D7%95%D7%92%D7%99%D7%A7%D7%94%20%D7%9C%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%20cc6a35404fae40a3b15735c40b05d768.md),"July 7, 2023",
ממן 11,,בתהליך,לוגיקה למדעי המחשב (%D7%AA%D7%95%D7%90%D7%A8%20%D7%91%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%202023/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A7%D7%95%D7%A8%D7%A1%D7%99%D7%9D/%D7%9C%D7%95%D7%92%D7%99%D7%A7%D7%94%20%D7%9C%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%20cc6a35404fae40a3b15735c40b05d768.md),"July 5, 2023",
ממח 22,,לעשות,אוטומטים ושפות פורמליות (%D7%AA%D7%95%D7%90%D7%A8%20%D7%91%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%202023/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A7%D7%95%D7%A8%D7%A1%D7%99%D7%9D/%D7%90%D7%95%D7%98%D7%95%D7%9E%D7%98%D7%99%D7%9D%20%D7%95%D7%A9%D7%A4%D7%95%D7%AA%20%D7%A4%D7%95%D7%A8%D7%9E%D7%9C%D7%99%D7%95%D7%AA%203a9795e27ff94c5492d9bda507aa18ed.md),"July 7, 2023",
